episode,ticker,net_worth,growth_pct,benchmark_pct,alpha_pct,sharpe,sortino,win_rate,trades,head_grad_norm,ext_grad_norm,fus_grad_norm,is_new_best
17,GLD,9990.43,-0.1,0.58,-0.67,-8.182,-5.858,0.375,40,0.3386,0.0765,0.5,False
17,IWM,9994.88,-0.05,8.62,-8.68,-1.334,-0.98,0.5,40,0.3386,0.0765,0.5,False
17,KRE,9970.16,-0.3,6.01,-6.3,-7.481,-6.522,0.5,40,0.3386,0.0765,0.5,False
17,NFLX,10205.39,2.05,5.04,-2.99,6.996,7.659,0.65,40,0.3386,0.0765,0.5,False
17,NVDA,9933.78,-0.66,-9.35,8.69,-4.677,-2.952,0.537,41,0.3386,0.0765,0.5,False
17,PYPL,9965.26,-0.35,1.8,-2.15,-3.983,-3.921,0.45,40,0.3386,0.0765,0.5,False
17,QQQ,9971.46,-0.29,-9.48,9.2,-4.529,-3.894,0.439,41,0.3386,0.0765,0.5,False
17,SPY,9935.19,-0.65,2.03,-2.67,-5.457,-3.046,0.525,40,0.3386,0.0765,0.5,False
17,UNG,10367.67,3.68,2.13,1.55,6.936,5.088,0.683,41,0.3386,0.0765,0.5,False
17,USO,9961.23,-0.39,1.7,-2.08,-2.811,-2.067,0.452,42,0.3386,0.0765,0.5,False
17,XBI,9977.86,-0.22,2.36,-2.59,-1.985,-1.842,0.487,39,0.3386,0.0765,0.5,False
17,XLE,9952.54,-0.47,2.28,-2.75,-11.988,-9.713,0.5,40,0.3386,0.0765,0.5,False
18,AAPL,10189.53,1.9,-5.06,6.95,12.164,21.434,0.65,40,0.3454,0.2155,0.5,False
